x_over_width,top_y_over_width,underside_y_over_width,observed_not_interpolated
-0.16452648475120385,0.15007298986898793,-0.26205878175219616,1
-0.16292134831460675,0.15026382862996904,-0.2622496205131773,1
-0.16131621187800962,0.15026382862996904,-0.26327085563726044,1
-0.15971107544141253,0.14924259350588592,-0.2634616943982415,1
-0.1581059390048154,0.14924259350588592,-0.26448292952232466,1
-0.1565008025682183,0.149433432266867,-0.26467376828330574,1
-0.1548956661316212,0.14962427102784817,-0.2656950034073889,1
-0.15329052969502407,0.14981510978882925,-0.2656950034073889,1
-0.15168539325842698,0.15000594854981042,-0.26550416464640775,1
-0.15008025682182985,0.1501967873107915,-0.26550416464640775,1
-0.14847512038523275,0.15038762607177264,-0.2665253997704909,1
-0.14686998394863562,0.15057846483275375,-0.26671623853147197,1
-0.14526484751203853,0.1507693035937349,-0.2679283124165362,1
-0.14365971107544143,0.15255389376174253,-0.2691403863016004,1
-0.1420545746388443,0.15274473252272364,-0.2691403863016004,1
-0.1404494382022472,0.15293557128370477,-0.2689495475406193,1
-0.13884430176565007,0.15293557128370477,-0.2689495475406193,1
-0.13723916532905298,0.15312641004468588,-0.2699707826647024,1
-0.13563402889245585,0.15350808756664813,-0.2699707826647024,1
-0.13402889245585875,0.15369892632762927,-0.2697799439037213,1
-0.13242375601926162,0.15388976508861035,-0.26958910514274015,1
-0.13081861958266452,0.15388976508861035,-0.26958910514274015,1
-0.12921348314606743,0.15408060384959152,-0.2708011790278044,1
-0.1276083467094703,0.15446228137155374,-0.2709920177887855,1
-0.1260032102728732,0.1546531201325349,-0.27201325291286854,1
-0.12439807383627609,0.1546531201325349,-0.27220409167384974,1
-0.12279293739967898,0.154843958893516,-0.2732253267979328,1
-0.12118780096308186,0.15382272376943287,-0.2734161655589139,1
-0.11958266452648475,0.15401356253041398,-0.27443740068299705,1
